Type,Trait value
AttendanceCost,7576.0
Review,4.952235533919273
Ranking,31.04615671594017
Ranking,0.7432759153611468
Review,2.0766591555579286
Review,3.961358237930293
Ranking,16.41706788187135
Review,3.1160278625743048
Ranking,21.348008884257297
Ranking,30.48647024703938
Ranking,17.934931910515584
Review,3.1098765178400436
Ranking,39.77834248851601
Review,3.1824652662177906
Review,4.8785934825680854
Ranking,9.415071710462787
Review,2.9386919845905743
Ranking,37.15712627166734
Ranking,17.776079604921698
Review,4.699757323391822
Review,3.786125996515943
Review,3.2322140073797767
Ranking,30.926899339661844
Ranking,43.113894047779795
Ranking,17.64121457699565
Ranking,27.368312299376385
Ranking,38.55241594014061
Ranking,16.34576331253707
Review,3.702992100168291
Review,2.9948536946575404
Ranking,22.278065642674054
Ranking,10.652169607322993
Ranking,43.776133886998906
Ranking,0.23387346736132297
Ranking,27.345696349757127
Ranking,17.519969368650194
Review,4.101183618141466
Ranking,3.8566610928100156
Review,4.529724574336839
Review,3.8961322660385185
Ranking,18.035246012913564
Ranking,46.275157818677656
Review,2.5943609889359114
Ranking,4.104191568007059
Ranking,7.221452052434457
Ranking,38.19306941751341
Ranking,0.09833824935566171
Review,3.334571950529476
Review,4.540344363106127
Review,4.607264104376615
Review,3.8183897397532736
Review,4.814497719356193
Review,2.39634863253907
Ranking,27.010798732222423
Review,4.598343099399592
Review,3.422714659796326
Review,2.4451069896263125
Ranking,37.68905043150387
Review,3.448658353616022
Ranking,44.7546196262132
Ranking,5.940305938603752
Ranking,20.056052261360552
Review,3.895904601143568
Review,3.3512282606045196
Review,2.3139105013141537
Review,2.774760266971425
Review,3.1394837696120406
Review,4.56460204951642
Review,4.922332956729597
Ranking,4.335755908804595
Review,4.554777393257078
Review,2.569917284762922
Review,4.728076275057013
Ranking,32.39200276207092
Ranking,13.58822836969596
Ranking,9.450227424040298
Review,2.0282293620807006
Review,3.4474151264421526
Ranking,8.321080748640702
Review,3.809331715263121
Review,4.556318818932126
Ranking,15.433488600683193
Review,2.1352868461908265
Review,2.9362227538140937
Ranking,3.976792697588688
Review,3.7008955440145836
Ranking,37.82030559432859
Review,3.0161751806964565
Ranking,19.510049266475267
Review,3.6351609302534493
Ranking,40.55877956164737
Ranking,44.540018689287635
Review,3.605648952445109
Ranking,44.059804956264664
Ranking,28.65594031322442
Review,4.113004693851781
Ranking,35.134855385585176
Ranking,12.220098923237355
Ranking,38.22142854894204
Review,4.3514737780024415
Review,3.9851691380936614
Review,2.560532022570647
Review,3.5912079841754716
Ranking,33.61882745789252
Ranking,44.50126161130413
Review,2.027273465761989
Ranking,26.139271936981945
Review,3.3891084100466613
Review,4.287480916894182
Ranking,13.211597724819269
Review,2.11264811407489
Review,4.159505177200347
Review,4.3991391942547855
Ranking,16.821420035185692
Ranking,23.978057572027673
Review,3.6831392682279405
Ranking,16.0650109643652
Review,4.037308459978814
Ranking,38.92339109626219
Ranking,7.431454067003224
Ranking,23.59549824343503
Review,3.4028720697015724
Review,4.060361236066759
Ranking,27.894523559160117
Ranking,19.668103869291976
Ranking,16.639935481544654
Ranking,26.42907612539981
Review,2.997017358612887
Ranking,6.839422206772772
Review,2.216468894137343
Review,3.271012629691367
Review,3.488020144330093
Review,2.297792360030175
Review,4.353516913762581
Ranking,1.1200259845170535
Review,4.388962369222733
Review,4.217356718249133
Ranking,44.44524133244089
Ranking,2.2945691765282827
Review,2.2350100377129127
Ranking,19.11759827876136
Review,2.135203418908114
Review,2.3782023467475497
Review,2.724380750781556
Ranking,27.643757725103573
Review,4.188001388171983
Review,3.2770218991852507
Ranking,44.378146477843664
Review,4.739769416653628
Ranking,35.55145415834228
Ranking,11.826352053406447
Review,2.4152580169208226
Review,3.4894398098249755
Ranking,21.949650297410734
Review,3.4914630605617454
Review,3.7331952980232908
Review,4.1778409203019535
Ranking,7.493733830685622
Ranking,44.377240461422225
Ranking,42.671788283019325
Review,3.689826608888182
Ranking,2.747207821284081
Review,4.161147308494488
Review,2.593438512848753
Ranking,34.87044262476198
Review,4.896069687723822
Review,4.798927759253541
Ranking,18.651397400209202
Review,4.793353279167408
Ranking,29.06591795893876
Review,4.162985773698877
Ranking,27.15614076657889
Review,3.1834616302529395
Review,3.8696069569035307
Ranking,5.656363599857356
