Type,Trait value
AttendanceCost,13192.0
Review,2.5324403808221407
Ranking,11.308924050434843
Ranking,12.881138715393393
Review,4.54672488061734
Review,2.6169480447155937
Ranking,46.4855292296616
Review,2.213904364867116
Ranking,11.611085408147487
Ranking,25.38141545687867
Ranking,3.8140772264352196
Review,3.3517718174055937
Ranking,10.666141109857591
Review,3.7181532934602766
Review,2.2857446912224697
Ranking,11.839953114449115
Review,2.1168004543657273
Ranking,12.743802234127632
Ranking,17.437415267380363
Review,2.878498932964162
Review,3.998091345713009
Review,2.2654406340940434
Ranking,12.597120465109196
Ranking,35.03761772675118
Ranking,27.68384691728112
Ranking,34.56384254268176
Ranking,5.075716760229859
Ranking,23.881525283549763
Review,4.608343476609033
Review,3.3619432020441464
Ranking,12.450081967006522
Ranking,10.481165596023773
Ranking,20.51371324335295
Ranking,35.19398032150469
Ranking,33.05825459925813
Ranking,29.58699872450082
Review,4.3737011084693975
Ranking,22.15825599593383
Review,2.8856969595844424
Review,3.080962240955616
Ranking,13.83787895442733
Ranking,27.22364967748061
Review,3.1420173120060606
Ranking,9.620337911428646
Ranking,0.788717715664744
Ranking,44.97369498693491
Ranking,17.995760118578552
Review,2.3992661190330375
Review,2.110222001286192
Review,3.7278723389040875
Review,2.464946503338725
Review,2.679100614859321
Review,2.925334945752889
Ranking,47.36951528484112
Review,2.9218519897806132
Review,4.61870476973788
Review,4.096441725782599
Ranking,3.9453553416724905
Review,4.920712761438374
Ranking,41.62433905788672
Ranking,20.555393936292965
Ranking,48.261729013879304
Review,2.959527340282917
Review,2.9027132140409035
Review,2.4995531720602515
Review,4.32790642205063
Review,4.852920458439716
Review,3.363452583108102
Review,3.073718835383028
Ranking,18.634778112430343
Review,4.993336463363572
Review,2.298463520942871
Review,4.722157011472194
Ranking,42.475307191702825
Ranking,45.28777382364314
Ranking,6.448540701606953
Review,4.948026886996858
Review,2.5955886627868203
Ranking,40.98391240581452
Review,3.269484612562792
Review,3.9160118980003435
Ranking,0.3075927560499847
Review,3.0979199692649524
Review,3.2406991795536473
Ranking,46.74409797619406
Review,3.0772201427273456
Ranking,22.9806837051175
Review,3.635018405688694
Ranking,12.736717618099386
Review,4.416110735431273
Ranking,5.0874132368938065
Ranking,46.5430205068003
Review,2.374276408977596
Ranking,19.619705000135955
Ranking,45.88206520627922
Review,2.949807411238062
Ranking,47.02221044337943
Ranking,15.127526147664645
Ranking,37.217063195898135
Review,4.740326419296418
Review,2.2123913812828664
Review,3.5826826521614694
Review,4.596043193824973
Ranking,42.768244083076176
Ranking,12.820666421164006
Review,4.313180757946894
Ranking,17.24345812356875
Review,3.202927119581511
Review,4.225197113510263
Ranking,29.40969875351202
Review,2.5004333022372935
Review,2.9177750610555337
Review,4.014221247645578
Ranking,23.720409130250513
Ranking,0.804990947272749
Review,4.74141927550097
Ranking,19.73178742023402
Review,3.0063081131778544
Ranking,40.056444586851214
Ranking,44.16987136911711
Ranking,17.046072898817826
Review,2.7404750293782305
Review,4.780381403400829
Ranking,49.67632166643021
Ranking,34.75516714319352
Ranking,18.500927872277046
Ranking,23.49558456168877
Review,3.4711356009100482
Ranking,29.886767661248232
Review,2.9367428393196366
Review,4.403821439884689
Review,3.0954402714229676
Review,2.1142658380980466
Review,3.92437572611612
Ranking,20.69770134959349
Review,4.448238975098629
Review,2.925164927317739
Ranking,39.76278101669447
Ranking,11.2850991983787
Review,4.210957528958534
Ranking,15.589221689644294
Review,3.0645627855606032
Review,4.120826520926602
Review,2.72714167930726
Ranking,49.771274651303585
Review,2.1992660575459384
Review,3.920643373893836
Ranking,13.37926815060137
Review,2.289580358919798
Ranking,16.529562630340877
Ranking,41.719174424028374
Review,4.08722028628492
Review,2.342803794252271
Ranking,48.31102111570404
Review,3.5751245805343994
Review,3.0269095080031936
Review,3.03442988770125
Ranking,33.45857857892377
Ranking,21.462985751168468
Ranking,16.43430829071166
Review,2.169554944116954
Ranking,48.07829235086119
Review,3.5791042207822943
Review,4.522406841856767
Ranking,3.0613934308971134
Review,4.231060321949197
Review,4.8879733620711345
Ranking,15.504049237571776
Review,3.2913661204100757
Ranking,12.712614190645477
Review,4.900866792760991
Ranking,26.166270946447106
Review,2.557009402415182
Review,2.0428479361937635
Ranking,12.799807856473965
Ranking,28.562860313425993
Review,4.223459739242381
Ranking,24.321106680680042
Ranking,14.050436900721502
Review,4.990574101254232
Ranking,14.707910607697372
Review,4.3241921524306886
Review,4.497060514910545
Review,3.5074148578046227
Ranking,23.195806872589515
Review,4.828201434027896
Ranking,21.456032034453454
Ranking,34.03235611277776
Review,4.052189772623585
Review,3.304442926475076
Review,4.348503445173996
Ranking,30.194160998850816
Ranking,41.67244559019155
Ranking,39.47591859303693
Review,2.2246375778109297
Review,3.5566076338732264
Ranking,16.565065043306404
