State,Year,Population,Violent Crime Rate,Murder Rate,Forcible Rape Rate,Robbery Rate,Aggraveted Assault Rate,Property Crime Rate,Burglary Rate,Larceny & Theft Rate,Motor Vehicle Theft Rate
Alaska,1960,226167,104.3000031,10.19999981,20.79999924,28.29999924,45.09999847,1544.900024,332.10000610000003,970.5,242.3000031
Alaska,1961,234000,88.90000153,11.5,13.19999981,12.39999962,51.70000076,1540.599976,380.7999878,950.0,209.8000031
Alaska,1962,246000,91.5,4.5,18.70000076,13.80000019,54.5,1564.599976,351.60000610000003,985.4000243999999,227.60000609999997
Alaska,1963,248000,109.6999969,6.5,14.89999962,22.20000076,66.09999847,1952.800049,381.5,1213.699951,357.7000122
Alaska,1964,250000,150.0,10.39999962,22.39999962,21.20000076,96.0,2016.0,443.6000061000001,1218.400024,354.0
Alaska,1965,253000,149.0,6.3000001910000005,17.79999924,39.90000153,85.0,2454.5,554.5,1492.900024,407.10000610000003
Alaska,1966,272000,150.3999939,12.89999962,19.5,36.0,82.0,2635.300049,593.0,1600.699951,441.5
Alaska,1967,272000,160.6999969,9.600000381000001,17.60000038,35.29999924,98.19999695,2723.899902,688.5999756,1630.900024,404.39999389999997
Alaska,1968,277000,175.5,10.5,21.70000076,52.70000076,90.59999847,3145.5,747.2999877999999,1915.9000239999998,482.29998780000005
Alaska,1969,282000,221.3000031,10.60000038,29.39999962,67.40000153,113.8000031,3658.899902,870.5999756000001,2196.800049,591.5
Alaska,1970,302173,278.0,12.19999981,26.10000038,71.80000305,167.8000031,3523.8000490000004,789.9000244,2182.5,551.2999877999999
Alaska,1971,313000,355.2999878,13.39999962,43.5,67.09999847,231.3000031,3809.3000490000004,848.5999756000001,2438.0,522.7000122
Alaska,1972,325000,370.5,9.5,41.79999924,66.5,252.60000609999997,4108.0,970.7999877999998,2639.100098,498.20001219999995
Alaska,1973,330000,384.5,10.0,44.5,67.0,263.0,4558.799805,1167.300049,2865.5,526.0999756
Alaska,1974,337000,453.1000061000001,13.60000038,49.29999924,88.40000153,301.7999878,4786.600098,1166.800049,2972.100098,647.7999877999999
Alaska,1975,352000,539.7999877999999,12.19999981,44.59999847,129.5,353.39999389999997,5656.799805,1214.5,3522.399902,919.9000243999999
Alaska,1976,382000,540.0999756,11.30000019,46.90000153,124.90000149999999,357.10000610000003,5680.600098,1218.099976,3656.8000490000004,805.7999877999999
Alaska,1977,407000,443.20001219999995,10.80000019,51.59999847,96.80000305,284.0,5454.799805,1331.699951,3369.8000490000004,753.2999877999999
Alaska,1978,403000,441.8999938999999,12.89999962,55.59999847,91.30000305,282.10000610000003,5604.200195,1339.199951,3603.5,661.5
Alaska,1979,406000,491.1000061000001,13.30000019,71.90000153,109.59999850000001,296.2999878,5712.600098,1383.300049,3713.3000490000004,616.0
Alaska,1980,440142,436.0,8.899999618999999,56.79999924,81.80000305,288.5,5209.700195,1259.800049,3388.899902,561.0
Alaska,1981,412000,615.7999877999999,14.60000038,102.1999969,114.59999850000001,384.5,5979.100098,1329.900024,3958.6999509999996,690.5
Alaska,1982,438000,623.7000122000001,18.5,85.40000153,133.8000031,386.10000610000003,5588.799805,1188.099976,3806.399902,594.2999877999999
Alaska,1983,479000,613.7999877999999,13.80000019,101.5,97.09999847,401.5,5404.799805,1194.199951,3566.8000490000004,643.7999877999999
Alaska,1984,500000,621.5999756,11.60000038,91.59999847,109.40000149999999,409.0,5493.600098,1236.800049,3628.0,628.7999877999999
Alaska,1985,521000,581.7999877999999,9.800000191,77.19999695,92.90000153,401.89999389999997,5295.200195,1191.699951,3497.100098,606.2999877999999
Alaska,1986,534000,570.4000244,8.600000381000001,72.69999695,88.0,401.10000610000003,5675.5,1161.800049,3909.899902,603.7000122000001
Alaska,1987,525000,455.3999938999999,10.10000038,65.0,73.09999847,307.2000122,4922.100098,970.0999756000001,3465.6999509999996,486.29998780000005
Alaska,1988,513000,522.7999878,5.6999998089999995,57.70000076,72.90000153,386.5,4398.799805,842.2999877999998,3101.600098,455.0
Alaska,1989,527000,497.70001219999995,8.0,52.90000153,67.59999847,369.2999878,4282.200195,826.9000244,3000.199951,455.0
Alaska,1990,550043,524.5,7.5,72.90000153,76.69999695,367.39999389999997,4628.200195,894.2999877999998,3168.5,565.4000244
Alaska,1991,570000,613.9000244,7.400000095,91.80000305,113.1999969,401.60000610000003,5087.700195,979.2999877999998,3574.600098,533.9000244
Alaska,1992,587000,660.5,7.5,98.59999847,109.0,445.29998780000005,4909.0,880.7000122000002,3531.1999509999996,497.1000061000001
Alaska,1993,599000,760.7999877999999,9.0,83.80000305,122.40000149999999,545.5999756,4807.200195,816.9000244,3539.399902,450.8999938999999
Alaska,1994,606000,766.2999877999999,6.3000001910000005,69.0,146.1999969,544.9000244,4941.700195,800.0,3601.3000490000004,540.4000244
Alaska,1995,604000,770.9000244,9.100000381000001,80.30000305,155.1000061,526.2999878,4982.899902,836.9000244,3624.3000490000004,521.7000122
Alaska,1996,607000,727.7000122000001,7.400000095,65.59999847,117.0,537.7000122000001,4722.700195,843.2000122000002,3386.6999509999996,492.8999938999999
Alaska,1997,609000,701.0999756,8.899999618999999,66.19999695,106.40000149999999,519.7000122,4571.399902,702.0999756,3412.1999509999996,457.1000061000001
Alaska,1998,614000,653.9000244,6.6999998089999995,68.59999847,86.59999847,492.0,4123.100098,667.4000244,3031.100098,424.6000061000001
Alaska,1999,619000,630.7999877999999,8.399999618999999,83.5,91.40000153,447.6000061000001,3728.6999509999996,611.2999877999999,2688.300049,429.1000061000001
Alaska,2000,626932,566.9000244,4.3000001910000005,79.30000305,78.19999695,405.10000610000003,3682.5,621.9000244,2685.800049,374.7999878
Alaska,2001,634892,588.2999877999999,6.099999905,78.90000153,81.0,422.29998780000005,3647.899902,605.9000244,2629.600098,412.39999389999997
Alaska,2002,641482,565.4000244,5.099999905,79.69999695,76.19999695,404.39999389999997,3759.6999509999996,609.2000122000001,2765.300049,385.2000122
Alaska,2003,648818,593.4000244,6.0,92.5,68.40000153,426.5,3742.1999509999996,594.2000122000001,2770.699951,377.2999878
Alabama,1960,3266740,186.6000061,12.39999962,8.600000381000001,27.5,138.1000061,1035.400024,355.89999389999997,592.0999756,87.30000305
Alabama,1961,3302000,168.5,12.89999962,7.599999905,19.10000038,128.8999939,985.5,339.2999878,569.4000244,76.80000305
Alabama,1962,3358000,157.3000031,9.399999618999999,6.5,22.5,119.0,1067.0,349.10000610000003,634.5,83.40000153
