PWSID,ZIP,District in ZIP,ZIP in District
0110001,94536,0.0941156981378072,0.6850873112921312
0110001,94538,0.18870237253929711,0.6730829443864172
0110001,94539,0.13131574650024316,0.4436425366766478
0110005,94541,0.016096387526428318,0.6810734695972545
0110006,94541,0.18675115566681705,0.9845547719412998
0110005,94542,0.0016818054254571565,0.06793618730983958
0110006,94542,0.18239085340867156,0.9179933088363476
0110001,94544,0.0032977415759397194,0.030230911952807124
0110005,94544,3.7836166837388657e-06,0.0001049498298614674
0110006,94544,0.2824165442339014,0.9760583500026712
0110001,94545,0.040742186379000685,0.3176232147614874
0110005,94545,0.0008482481558473401,0.020009249901604933
0110006,94545,0.3375269999663594,0.9920360238494402
0110001,94555,0.11582168797964147,1.0
0110001,94560,0.1872086992913848,0.975720826244749
0110003,94566,0.0004682918494267834,0.0004456741962176355
0110008,94566,0.5367865296465031,0.5594591584469416
0110011,94566,0.001826184234053256,0.002352108573117957
0110008,94586,0.04055468852891519,0.029551946828183868
0110001,94587,0.18666531622987506,0.6419940352920517
0110006,94587,0.004220776952949094,0.005472815192081545
0110001,95134,0.00024639584441848197,0.002219520203706984
0110003,94550,0.7456310950607841,0.03984272965664752
0110008,94550,0.0005961195852182963,3.4883845312773654e-05
0110011,94550,0.5142846415597807,0.0371912275638843
0110001,95035,0.0002682067338758549,0.0005484409643653991
0410011,95938,0.0011965125111758467,0.11731952799943382
0410002,95973,0.2849682673756728,0.02617476955067266
0410011,95973,0.004262264706733315,0.1556375339346424
0110005,94801,0.03701511474871645,0.993684566069475
0110005,94804,0.02221728951544273,0.8943853555779027
0110005,94806,0.02401899889745169,0.9039133954540136
0110005,94530,0.02025834109451686,1.0
0110005,94563,0.06657075631773646,0.8520260243421434
0110005,94564,0.012283039794976077,0.8039790393056306
0110005,94611,0.0244905940717646,0.9934507704764604
0110005,94618,0.007704712585712373,1.0
0110005,94702,0.003915732853277497,1.0
0110005,94703,0.004516782915691782,1.0
0110005,94704,0.004462584317172794,1.0
0110005,94705,0.0064267638992554,1.0
0110005,94706,0.004622650063802934,1.0
0110005,94707,0.005677803284196219,1.0
0110005,94708,0.011411308584085518,1.0
0110005,94709,0.001885018715921928,1.0
0110005,94710,0.00915253859514552,1.0
0110005,94720,0.0054146278089723795,1.0
0110005,94803,0.026494687559594915,0.6749168084079656
0110005,94805,0.0065853489027869715,1.0
0110005,94501,0.018218705275295892,0.4886506066259805
0110005,94502,0.008346474379011672,0.9995698054623569
0110005,94601,0.01125187456239279,1.0
0110005,94602,0.010997520946416872,0.9998164015998487
0110005,94603,0.009335382969977652,1.0
0110005,94606,0.007839475323732584,1.0
0110005,94607,0.020037062272171315,1.0
0110005,94608,0.009220371871077456,1.0
0110005,94609,0.005788920110625782,1.0
0110005,94610,0.006838076038043914,1.0
0110005,94612,0.0037745325673157813,1.0
0110005,94613,0.0008162824646210474,1.0
0110005,94619,0.01449428478306147,0.8747588733555278
0110005,94621,0.02791456348176985,1.0001287003941468
0110005,94525,0.0048590226907080005,0.5563305023376734
0710003,94525,0.00029488029034112383,0.024035435833288984
0110005,94547,0.013040634464954327,0.6913353380499233
0710003,94569,0.0065489470831571256,0.9876497265327296
0110005,94572,0.006403250712885156,0.2872793217859236
0710003,94591,4.823865542782355e-05,0.0005246352550114218
0710003,94510,0.000398127798177106,0.0024692280942657666
0710006,94510,0.003405593668773881,0.0015189770933830282
0710002,94520,0.03223878909557645,0.005839413084567169
0710003,94520,0.0651591550532476,0.793807382323365
0710008,94520,0.012509487174082382,0.011395043787821694
0710001,94565,0.01464748828883627,0.010112769913189736
