Forgery,Stroke width,Stroke length,Color
0.0,2.4437044744222183,6.361786177624804,Gold
0.0,1.7465910883162898,5.250373558480356,Gold
1.0,3.4507685204225838,11.936562836819466,Blue
0.0,1.8169387252973077,4.8599219136683045,Gold
0.0,1.3893386808521362,5.859808919564173,Gold
1.0,3.7249179727166783,12.235280826969118,Blue
1.0,3.8933915037838487,5.839723371362604,Blue
0.0,1.3722572448142492,8.266683114130915,Gold
0.0,0.8096258518654573,6.688297802504628,Gold
1.0,2.221919044986558,7.773404780275895,Blue
1.0,1.875823511840888,8.129328118317492,Blue
1.0,1.3955763313108185,8.31006201404766,Blue
1.0,3.3570669205864707,9.510231227672982,Blue
1.0,1.9576550916716808,8.412615148582354,Blue
1.0,0.5101655454671605,9.765458451410279,Blue
0.0,1.7923462578744869,5.396734975312246,Gold
1.0,0.5,12.396803063848605,Blue
0.0,1.6084540370470273,5.602332879717001,Gold
1.0,4.295990778156941,8.367165778759608,Blue
0.0,1.7511466240899232,4.815285247547231,Gold
1.0,1.0914312675200122,5.535157586363652,Blue
0.0,1.8508377875375015,7.904796252306467,Gold
1.0,4.379019048932391,8.087922283032054,Blue
1.0,2.8367945197837217,9.13146202183652,Blue
0.0,2.188498045269682,5.4673432280004315,Gold
1.0,2.286445697331644,9.290083784303306,Blue
0.0,1.6750602097274667,5.703872140159563,Gold
0.0,2.2637229437970223,4.577562935684651,Gold
1.0,1.7512,6.5598,Blue
0.0,2.2151,7.2677,Gold
1.0,3.1174,5.4009,Blue
1.0,3.2965,7.026,Blue
1.0,2.9576,7.4511,Blue
1.0,3.1141,4.2091,Blue
